TradeNum,Date,ExitDate,Type,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,RunningBalance
1,2026-07-02,2026-07-06,SHORT,4098.8,4110.8,4110.8,4074.8,4110.8,12,8.33,100,-100,-1,LOSS,NO,9900
2,2026-05-07,2026-05-08,SHORT,4702,4714,4714,4678,4714,12,8.25,99,-99,-1,LOSS,NO,9801
3,2026-05-29,2026-06-01,SHORT,4510.7,4522.7,4510.2,4486.7,4486.7,12,8.17,98.01,196.02,2,WIN,YES,9997.02
4,2026-06-04,2026-06-05,SHORT,4463.1,4475.1,4462.6,4439.1,4439.1,12,8.33,99.97,199.94,2,WIN,YES,10196.96
5,2026-06-30,2026-07-01,SHORT,4029,4041,4028.5,4005,4005,12,8.5,101.97,203.94,2,WIN,YES,10400.9
