Date,Time,Open,High,Low,Close,Volume
2025-08-07,15:00,3450.10,3454.50,3446.00,3453.90,0
2025-08-07,16:00,3453.90,3456.40,3451.20,3453.90,6430
2025-08-07,17:00,3453.80,3457.00,3450.80,3455.30,10781
2025-08-07,18:00,3455.50,3457.80,3451.30,3452.10,6141
2025-08-07,19:00,3452.30,3468.00,3451.10,3466.80,10253
2025-08-07,20:00,3466.90,3483.80,3465.50,3482.70,12264
2025-08-07,22:00,3487.90,3534.10,3479.50,3488.60,0
2025-08-07,23:00,3488.40,3497.50,3484.50,3496.40,5672
2025-08-08,00:00,3496.40,3514.90,3491.60,3510.20,14541
2025-08-08,01:00,3510.20,3510.50,3486.50,3488.20,16275
2025-08-08,02:00,3488.10,3495.50,3487.80,3488.90,6035
2025-08-08,03:00,3488.80,3489.90,3480.40,3489.10,9207
2025-08-08,04:00,3488.20,3493.50,3487.10,3492.50,4272
2025-08-08,05:00,3492.50,3496.20,3486.90,3487.10,5157
2025-08-08,06:00,3487.00,3502.00,3486.70,3498.50,9994
2025-08-08,07:00,3498.30,3507.10,3487.00,3492.70,16684
2025-08-08,08:00,3493.10,3496.80,3482.10,3482.50,9424
2025-08-08,09:00,3482.50,3494.60,3482.10,3494.10,6001
2025-08-08,10:00,3494.10,3494.10,3470.80,3472.20,9364
2025-08-08,11:00,3472.30,3477.30,3468.60,3475.70,7817
2025-08-08,12:00,3475.50,3506.50,3473.50,3481.20,32807
2025-08-08,13:00,3481.40,3499.00,3476.00,3495.00,22717
2025-08-08,14:00,3494.90,3496.20,3473.80,3492.80,20666
2025-08-08,15:00,3492.70,3495.30,3488.00,3492.30,10217
2025-08-08,16:00,3492.40,3493.20,3486.30,3488.40,9553
2025-08-08,17:00,3488.40,3493.30,3460.10,3464.00,12909
2025-08-08,18:00,3464.00,3468.10,3445.00,3453.80,42878
2025-08-08,19:00,3453.70,3459.70,3448.50,3456.60,12217
2025-08-08,20:00,3456.80,3491.30,3452.10,3491.30,6265
2025-08-10,22:00,3458.10,3491.30,3456.10,3460.10,4365
2025-08-10,23:00,3460.30,3462.00,3454.60,3455.40,2648
2025-08-11,00:00,3455.60,3455.60,3443.10,3443.70,6022
2025-08-11,01:00,3443.90,3447.50,3431.00,3442.20,10755
2025-08-11,02:00,3442.20,3443.30,3432.30,3440.20,6126
2025-08-11,03:00,3440.20,3443.80,3436.80,3440.60,3239
2025-08-11,04:00,3440.20,3440.80,3436.60,3437.00,2207
2025-08-11,05:00,3436.70,3442.70,3434.50,3439.30,4512
