TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,DurationMins,RunningBalance
1,2024-08-01,07:25,08:10,LONG,2445.67,2442.81,2442.81,2449.39,2444.07,2.86,34.97,100,-55.94,-0.56,LOSS,NO,45,9944.06
2,2024-08-01,08:10,08:20,SHORT,2444.07,2446.74,2446.74,2440.6,2446.74,2.67,37.24,99.44,-99.44,-1,LOSS,NO,10,9844.62
3,2024-08-01,09:00,09:05,SHORT,2447.47,2450.25,2447.27,2443.86,2447.27,2.78,35.41,98.45,7.08,0.07,WIN,YES,5,9851.7
4,2024-08-01,09:35,10:00,LONG,2446.21,2443.7,2443.7,2449.47,2443.7,2.51,39.25,98.52,-98.52,-1,LOSS,NO,25,9753.18
5,2024-08-01,10:15,11:00,SHORT,2442.65,2445.49,2442.29,2438.96,2439.94,2.84,34.34,97.53,93.07,0.95,WIN,YES,45,9846.25
6,2024-08-01,10:50,11:25,LONG,2441.39,2438.37,2438.37,2445.32,2438.37,3.02,32.6,98.46,-98.46,-1,LOSS,NO,35,9747.79
7,2024-08-01,11:30,11:35,LONG,2437.09,2434.3,2434.3,2440.72,2434.3,2.79,34.94,97.48,-97.48,-1,LOSS,NO,5,9650.31
8,2024-08-01,12:10,12:55,SHORT,2433.16,2436.45,2432.96,2428.88,2432.96,3.29,29.33,96.5,5.87,0.06,WIN,YES,45,9656.17
9,2024-08-01,12:50,13:15,LONG,2431.72,2428.62,2432.85,2435.75,2435.75,3.1,31.15,96.56,125.53,1.3,WIN,YES,25,9781.7
10,2024-08-01,13:25,14:10,LONG,2435.67,2433.89,2433.89,2437.98,2435.57,1.78,54.95,97.82,-5.5,-0.06,LOSS,NO,45,9776.21
11,2024-08-01,14:00,14:25,SHORT,2434.74,2437.24,2437.24,2431.49,2437.24,2.5,39.1,97.76,-97.76,-1,LOSS,NO,25,9678.45
12,2024-08-01,14:35,14:50,SHORT,2436.95,2439.56,2439.56,2433.56,2439.56,2.61,37.08,96.78,-96.78,-1,LOSS,NO,15,9581.66
13,2024-08-01,15:40,16:25,LONG,2453.03,2447.6,2447.6,2460.09,2453.39,5.43,17.65,95.82,6.35,0.07,WIN,NO,45,9588.02
14,2024-08-01,16:15,16:25,LONG,2452.41,2449.2,2452.61,2456.58,2452.61,3.21,29.87,95.88,5.97,0.06,WIN,YES,10,9593.99
15,2024-08-01,16:50,17:00,LONG,2452.59,2447.33,2452.79,2459.43,2459.43,5.26,18.24,95.94,124.72,1.3,WIN,YES,10,9718.71
16,2024-08-02,07:05,07:35,LONG,2454.97,2452.76,2455.71,2457.84,2457.84,2.21,43.98,97.19,126.34,1.3,WIN,YES,30,9845.05
17,2024-08-02,07:45,08:30,LONG,2459.7,2456.9,2456.9,2463.34,2460,2.8,35.16,98.45,10.55,0.11,WIN,NO,45,9855.6
18,2024-08-02,08:25,08:30,SHORT,2458.38,2460.33,2460.33,2455.85,2460.33,1.95,50.54,98.56,-98.56,-1,LOSS,NO,5,9757.05
19,2024-08-02,09:10,09:35,LONG,2465.03,2461.79,2465.23,2469.24,2465.23,3.24,30.11,97.57,6.02,0.06,WIN,YES,25,9763.07
20,2024-08-02,09:45,10:00,LONG,2464.05,2461.01,2464.25,2468,2464.25,3.04,32.12,97.63,6.42,0.07,WIN,YES,15,9769.49
21,2024-08-02,10:30,10:50,LONG,2463.5,2460.76,2460.76,2467.06,2460.76,2.74,35.66,97.69,-97.69,-1,LOSS,NO,20,9671.8
22,2024-08-02,11:05,11:25,SHORT,2462.82,2465.17,2465.17,2459.77,2465.17,2.35,41.16,96.72,-96.72,-1,LOSS,NO,20,9575.08
23,2024-08-02,11:40,12:25,LONG,2462.65,2460.35,2460.35,2465.64,2461.34,2.3,41.63,95.75,-54.54,-0.57,LOSS,NO,45,9520.54
24,2024-08-02,12:15,12:20,SHORT,2463.6,2465.62,2463.4,2460.97,2463.4,2.02,47.13,95.21,9.43,0.1,WIN,YES,5,9529.97
25,2024-08-02,12:50,13:20,LONG,2462.85,2460.6,2463.05,2465.78,2463.05,2.25,42.36,95.3,8.47,0.09,WIN,YES,30,9538.44
26,2024-08-02,13:25,14:10,LONG,2463.52,2461.25,2461.25,2466.47,2461.25,2.27,42.02,95.38,-95.38,-1,LOSS,NO,45,9443.06
27,2024-08-02,14:00,14:05,SHORT,2463.89,2466.1,2463.69,2461.02,2463.69,2.21,42.73,94.43,8.55,0.09,WIN,YES,5,9451.6
28,2024-08-02,14:40,15:25,SHORT,2459.48,2462.34,2458.11,2455.76,2455.76,2.86,33.05,94.52,122.87,1.3,WIN,YES,45,9574.47
29,2024-08-02,15:20,15:30,SHORT,2456.4,2459.31,2459.31,2452.62,2459.31,2.91,32.9,95.74,-95.74,-1,LOSS,NO,10,9478.73
30,2024-08-02,15:55,16:00,SHORT,2472.82,2477.52,2472.62,2466.71,2466.71,4.7,20.17,94.79,123.22,1.3,WIN,YES,5,9601.95
31,2024-08-02,16:35,17:00,SHORT,2465.55,2472.78,2472.78,2456.15,2472.78,7.23,13.28,96.02,-96.02,-1,LOSS,NO,25,9505.93
32,2024-08-05,07:00,07:10,SHORT,2452.09,2455.55,2455.55,2447.59,2455.55,3.46,27.47,95.06,-95.06,-1,LOSS,NO,10,9410.87
33,2024-08-05,07:35,08:00,LONG,2454.58,2450.9,2450.9,2459.36,2450.9,3.68,25.57,94.11,-94.11,-1,LOSS,NO,25,9316.76
34,2024-08-05,08:20,08:25,SHORT,2446.56,2450.04,2446.36,2442.04,2446.36,3.48,26.77,93.17,5.35,0.06,WIN,YES,5,9322.12
35,2024-08-05,09:05,09:15,LONG,2433.2,2428.27,2428.27,2439.61,2428.27,4.93,18.91,93.22,-93.22,-1,LOSS,NO,10,9228.9
36,2024-08-05,09:40,09:50,SHORT,2429.93,2433.88,2429.73,2424.79,2429.73,3.95,23.36,92.29,4.67,0.05,BREAKEVEN,YES,10,9233.57
37,2024-08-05,10:45,11:00,LONG,2434.72,2429.47,2429.47,2441.54,2429.47,5.25,17.59,92.34,-92.34,-1,LOSS,NO,15,9141.23
38,2024-08-05,11:50,12:15,SHORT,2424.6,2430.15,2424.4,2417.38,2424.4,5.55,16.47,91.41,3.29,0.04,BREAKEVEN,YES,25,9144.53
39,2024-08-05,12:30,12:35,LONG,2421.59,2419.21,2421.79,2424.68,2424.68,2.38,38.42,91.45,118.88,1.3,WIN,YES,5,9263.41
40,2024-08-05,13:05,13:10,SHORT,2424.49,2427.03,2424.29,2421.19,2424.29,2.54,36.47,92.63,7.29,0.08,WIN,YES,5,9270.7
41,2024-08-05,13:45,13:55,SHORT,2415.73,2420.86,2415.53,2409.06,2409.06,5.13,18.07,92.71,120.52,1.3,WIN,YES,10,9391.22
42,2024-08-05,14:25,14:35,LONG,2397.57,2392.93,2392.93,2403.6,2392.93,4.64,20.24,93.91,-93.91,-1,LOSS,NO,10,9297.31
43,2024-08-05,15:00,15:20,LONG,2389.24,2382.51,2382.51,2397.99,2382.51,6.73,13.81,92.97,-92.97,-1,LOSS,NO,20,9204.34
44,2024-08-05,15:50,15:55,LONG,2373.31,2369.51,2373.51,2378.25,2378.25,3.8,24.22,92.04,119.66,1.3,WIN,YES,5,9323.99
45,2024-08-05,16:25,16:35,LONG,2385.88,2381.19,2386.08,2391.98,2391.98,4.69,19.88,93.24,121.21,1.3,WIN,YES,10,9445.2
46,2024-08-06,07:00,07:30,LONG,2409.51,2406.72,2409.74,2413.14,2409.74,2.79,33.85,94.45,7.79,0.08,WIN,YES,30,9452.99
47,2024-08-06,07:40,08:20,SHORT,2408.44,2411.69,2411.69,2404.22,2411.69,3.25,29.09,94.53,-94.53,-1,LOSS,NO,40,9358.46
48,2024-08-06,08:25,08:30,SHORT,2409.76,2412.16,2409.56,2406.64,2406.64,2.4,38.99,93.58,121.66,1.3,WIN,YES,5,9480.12
49,2024-08-06,09:00,09:05,SHORT,2398.67,2402.16,2398.47,2394.13,2398.47,3.49,27.16,94.8,5.43,0.06,WIN,YES,5,9485.55
50,2024-08-06,09:50,10:20,LONG,2404.73,2400.59,2404.93,2410.11,2404.93,4.14,22.91,94.86,4.58,0.05,BREAKEVEN,YES,30,9490.13
51,2024-08-06,10:25,10:40,LONG,2406.09,2402.04,2406.29,2411.36,2406.29,4.05,23.43,94.9,4.69,0.05,BREAKEVEN,YES,15,9494.82
52,2024-08-06,11:00,11:05,LONG,2409.25,2406.73,2409.45,2412.53,2412.53,2.52,37.68,94.95,123.43,1.3,WIN,YES,5,9618.25
53,2024-08-06,11:35,11:55,LONG,2410.82,2406.58,2411.02,2416.33,2411.02,4.24,22.68,96.18,4.54,0.05,BREAKEVEN,YES,20,9622.79
54,2024-08-06,12:10,12:15,LONG,2412.16,2409.54,2412.36,2415.57,2412.36,2.62,36.73,96.23,7.35,0.08,WIN,YES,5,9630.14
55,2024-08-06,12:55,13:05,LONG,2413.25,2411.06,2413.45,2416.1,2413.45,2.19,43.97,96.3,8.79,0.09,WIN,YES,10,9638.93
56,2024-08-06,13:35,13:40,LONG,2413.88,2411.68,2414.08,2416.74,2414.08,2.2,43.81,96.39,8.76,0.09,WIN,YES,5,9647.69
57,2024-08-06,14:10,14:30,LONG,2411.38,2409.22,2411.58,2414.19,2414.19,2.16,44.67,96.48,125.42,1.3,WIN,YES,20,9773.11
58,2024-08-06,14:50,15:10,SHORT,2411.85,2414.33,2411.65,2408.63,2408.63,2.48,39.41,97.73,127.05,1.3,WIN,YES,20,9900.16
59,2024-08-06,15:35,16:00,LONG,2395.64,2391.07,2395.84,2401.58,2395.84,4.57,21.66,99,4.33,0.04,BREAKEVEN,YES,25,9904.5
60,2024-08-06,16:10,16:20,SHORT,2391.21,2395.8,2395.8,2385.24,2395.8,4.59,21.58,99.04,-99.04,-1,LOSS,NO,10,9805.45
61,2024-08-06,16:45,17:00,SHORT,2394.93,2400.23,2400.23,2388.04,2400.23,5.3,18.5,98.05,-98.05,-1,LOSS,NO,15,9707.4
62,2024-08-07,07:15,07:25,SHORT,2389.73,2392.03,2392.03,2386.74,2392.03,2.3,42.21,97.07,-97.07,-1,LOSS,NO,10,9610.32
63,2024-08-07,07:50,08:35,SHORT,2393.79,2396.18,2396.18,2390.68,2392.85,2.39,40.21,96.1,37.8,0.39,WIN,NO,45,9648.12
64,2024-08-07,08:30,08:50,SHORT,2394.08,2397.54,2392.38,2389.58,2389.58,3.46,27.88,96.48,125.43,1.3,WIN,YES,20,9773.55
65,2024-08-07,09:10,09:25,SHORT,2392.03,2394.93,2394.93,2388.26,2394.93,2.9,33.7,97.74,-97.74,-1,LOSS,NO,15,9675.81
66,2024-08-07,09:45,10:30,LONG,2394.1,2391.39,2391.39,2397.62,2391.39,2.71,35.7,96.76,-96.76,-1,LOSS,NO,45,9579.05
67,2024-08-07,10:20,10:35,SHORT,2393.46,2395.91,2391.99,2390.28,2390.28,2.45,39.1,95.79,124.53,1.3,WIN,YES,15,9703.58
68,2024-08-07,11:00,11:45,LONG,2389.86,2386.76,2391.33,2393.89,2392.56,3.1,31.3,97.04,84.52,0.87,WIN,YES,45,9788.1
69,2024-08-07,11:35,12:00,SHORT,2392.36,2394.97,2394.97,2388.97,2394.97,2.61,37.5,97.88,-97.88,-1,LOSS,NO,25,9690.22
70,2024-08-07,12:10,12:25,LONG,2395.11,2392.85,2392.85,2398.05,2392.85,2.26,42.88,96.9,-96.9,-1,LOSS,NO,15,9593.31
71,2024-08-07,12:45,12:50,LONG,2396.05,2393.63,2393.63,2399.2,2393.63,2.42,39.64,95.93,-95.93,-1,LOSS,NO,5,9497.38
72,2024-08-07,13:35,14:20,LONG,2396.74,2393.7,2393.7,2400.69,2397.55,3.04,31.24,94.97,25.31,0.27,WIN,NO,45,9522.69
73,2024-08-07,14:15,14:40,LONG,2397.12,2394.74,2394.74,2400.21,2394.74,2.38,40.01,95.23,-95.23,-1,LOSS,NO,25,9427.46
74,2024-08-07,14:55,15:05,SHORT,2400.93,2403.75,2403.75,2397.26,2403.75,2.82,33.43,94.27,-94.27,-1,LOSS,NO,10,9333.18
75,2024-08-07,15:35,15:45,SHORT,2400.24,2403.48,2403.48,2396.03,2403.48,3.24,28.81,93.33,-93.33,-1,LOSS,NO,10,9239.85
76,2024-08-07,16:10,16:50,SHORT,2402.26,2405.78,2401.26,2397.68,2397.68,3.52,26.25,92.4,120.12,1.3,WIN,YES,40,9359.97
77,2024-08-07,16:45,16:50,LONG,2399.91,2397.19,2397.19,2403.45,2397.19,2.72,34.41,93.6,-93.6,-1,LOSS,NO,5,9266.37
78,2024-08-08,07:00,07:15,LONG,2394.42,2392.2,2394.62,2397.31,2394.62,2.22,41.74,92.66,8.35,0.09,WIN,YES,15,9274.72
79,2024-08-08,07:40,08:25,SHORT,2394.96,2397.81,2394.76,2391.26,2394.76,2.85,32.54,92.75,6.51,0.07,WIN,YES,45,9281.23
80,2024-08-08,08:15,08:30,SHORT,2393.05,2395.33,2395.33,2390.09,2395.33,2.28,40.71,92.81,-92.81,-1,LOSS,NO,15,9188.42
81,2024-08-08,08:50,09:00,LONG,2393.81,2391.48,2394.01,2396.84,2394.01,2.33,39.44,91.88,7.89,0.09,WIN,YES,10,9196.3
82,2024-08-08,09:25,09:40,SHORT,2398.92,2402.12,2398.72,2394.76,2398.72,3.2,28.74,91.96,5.75,0.06,WIN,YES,15,9202.05
83,2024-08-08,10:00,10:25,SHORT,2398.66,2401.7,2397.45,2394.71,2397.45,3.04,30.27,92.02,36.63,0.4,WIN,YES,25,9238.68
84,2024-08-08,10:45,11:30,SHORT,2396.32,2399.55,2395.34,2392.12,2393.97,3.23,28.6,92.39,67.22,0.73,WIN,YES,45,9305.89
85,2024-08-08,11:35,12:00,SHORT,2393.97,2396.42,2396.42,2390.78,2396.42,2.45,37.98,93.06,-93.06,-1,LOSS,NO,25,9212.83
86,2024-08-08,12:25,12:35,SHORT,2395.92,2397.92,2395.72,2393.32,2395.72,2,46.06,92.13,9.21,0.1,WIN,YES,10,9222.05
87,2024-08-08,13:05,13:40,SHORT,2398.53,2400.63,2400.63,2395.8,2400.63,2.1,43.91,92.22,-92.22,-1,LOSS,NO,35,9129.83
88,2024-08-08,13:55,14:05,SHORT,2405.23,2407.83,2407.83,2401.85,2407.83,2.6,35.11,91.3,-91.3,-1,LOSS,NO,10,9038.53
89,2024-08-08,14:40,14:45,LONG,2409.42,2404.76,2409.62,2415.48,2409.62,4.66,19.4,90.39,3.88,0.04,BREAKEVEN,YES,5,9042.41
90,2024-08-08,15:15,15:30,SHORT,2412.65,2415.89,2412.45,2408.44,2408.44,3.24,27.91,90.42,117.55,1.3,WIN,YES,15,9159.96
91,2024-08-08,15:50,16:00,SHORT,2408.41,2410.81,2408.21,2405.29,2405.29,2.4,38.17,91.6,119.08,1.3,WIN,YES,10,9279.04
92,2024-08-08,16:30,16:35,LONG,2410.09,2406.17,2410.29,2415.19,2410.29,3.92,23.67,92.79,4.73,0.05,BREAKEVEN,YES,5,9283.77
93,2024-08-09,08:00,08:35,LONG,2422.47,2420.03,2420.03,2425.64,2420.03,2.44,38.05,92.84,-92.84,-1,LOSS,NO,35,9190.93
94,2024-08-09,08:35,08:55,LONG,2419.81,2417.14,2417.14,2423.28,2417.14,2.67,34.42,91.91,-91.91,-1,LOSS,NO,20,9099.03
95,2024-08-09,09:10,09:25,LONG,2418.12,2416,2418.32,2420.88,2418.32,2.12,42.92,90.99,8.58,0.09,WIN,YES,15,9107.61
96,2024-08-09,09:50,10:10,LONG,2420.47,2418.42,2420.67,2423.13,2420.67,2.05,44.43,91.08,8.89,0.1,WIN,YES,20,9116.49
97,2024-08-09,11:20,12:05,LONG,2424.09,2421.87,2421.87,2426.98,2424.5,2.22,41.07,91.16,16.84,0.18,WIN,NO,45,9133.33
98,2024-08-09,12:05,12:50,LONG,2424.5,2422.19,2422.19,2427.5,2423.1,2.31,39.54,91.33,-55.35,-0.61,LOSS,NO,45,9077.98
99,2024-08-09,12:50,13:30,SHORT,2423.1,2425.42,2425.42,2420.08,2425.42,2.32,39.13,90.78,-90.78,-1,LOSS,NO,40,8987.2
100,2024-08-09,13:35,13:40,SHORT,2427.77,2429.99,2429.99,2424.88,2429.99,2.22,40.48,89.87,-89.87,-1,LOSS,NO,5,8897.33
101,2024-08-09,14:10,14:40,SHORT,2430.84,2433.79,2428.02,2427.01,2427.01,2.95,30.16,88.97,115.67,1.3,WIN,YES,30,9012.99
102,2024-08-09,14:50,15:20,SHORT,2425.8,2428.38,2425.6,2422.45,2425.6,2.58,34.93,90.13,6.99,0.08,WIN,YES,30,9019.98
103,2024-08-09,15:30,15:40,SHORT,2425.81,2429.13,2429.13,2421.49,2429.13,3.32,27.17,90.2,-90.2,-1,LOSS,NO,10,8929.78
104,2024-08-09,16:05,16:15,LONG,2429.45,2426.61,2429.65,2433.14,2429.65,2.84,31.44,89.3,6.29,0.07,WIN,YES,10,8936.07
105,2024-08-09,16:45,16:50,LONG,2422.35,2419.46,2422.55,2426.11,2422.55,2.89,30.92,89.36,6.18,0.07,WIN,YES,5,8942.25
106,2024-08-12,08:05,08:45,SHORT,2433.31,2435.94,2431.97,2429.89,2429.89,2.63,34,89.42,116.25,1.3,WIN,YES,40,9058.5
107,2024-08-12,08:40,08:55,SHORT,2431.02,2433.97,2433.97,2427.19,2433.97,2.95,30.71,90.59,-90.59,-1,LOSS,NO,15,8967.92
108,2024-08-12,09:15,09:50,LONG,2434.59,2432.28,2434.79,2437.59,2434.79,2.31,38.82,89.68,7.76,0.09,WIN,YES,35,8975.68
109,2024-08-12,09:55,10:20,LONG,2436.73,2434.36,2436.93,2439.81,2436.93,2.37,37.87,89.76,7.57,0.08,WIN,YES,25,8983.25
110,2024-08-12,10:30,10:55,SHORT,2438.64,2440.91,2440.91,2435.69,2440.91,2.27,39.57,89.83,-89.83,-1,LOSS,NO,25,8893.42
111,2024-08-12,11:05,11:50,LONG,2441.73,2439.35,2441.93,2444.82,2443.05,2.38,37.37,88.93,49.32,0.55,WIN,YES,45,8942.75
112,2024-08-12,11:40,11:45,LONG,2440.75,2438.64,2440.95,2443.49,2440.95,2.11,42.38,89.43,8.48,0.09,WIN,YES,5,8951.22
113,2024-08-12,12:20,13:05,SHORT,2442.82,2446.47,2446.47,2438.08,2442.93,3.65,24.52,89.51,-2.7,-0.03,BREAKEVEN,NO,45,8948.53
114,2024-08-12,12:55,13:40,SHORT,2442.57,2444.75,2444.75,2439.74,2444.46,2.18,41.05,89.49,-77.58,-0.87,LOSS,NO,45,8870.94
115,2024-08-12,13:30,14:15,LONG,2443.06,2440.4,2440.4,2446.52,2441.97,2.66,33.35,88.71,-36.35,-0.41,LOSS,NO,45,8834.59
116,2024-08-12,14:05,14:35,SHORT,2442.92,2445.19,2442.63,2439.97,2439.97,2.27,38.92,88.35,114.85,1.3,WIN,YES,30,8949.44
117,2024-08-12,14:45,15:20,LONG,2440.95,2438.34,2442.46,2444.34,2442.46,2.61,34.29,89.49,51.78,0.58,WIN,YES,35,9001.22
118,2024-08-12,15:20,16:05,LONG,2443.79,2440.48,2440.48,2448.09,2443.99,3.31,27.19,90.01,5.44,0.06,WIN,NO,45,9006.66
119,2024-08-12,15:55,16:00,LONG,2444.33,2442.21,2442.21,2447.09,2442.21,2.12,42.48,90.07,-90.07,-1,LOSS,NO,5,8916.59
120,2024-08-12,16:40,16:50,SHORT,2451.86,2456.03,2456.03,2446.44,2456.03,4.17,21.38,89.17,-89.17,-1,LOSS,NO,10,8827.43
121,2024-08-13,07:30,08:00,SHORT,2462.35,2465.45,2462.15,2458.32,2462.15,3.1,28.48,88.27,5.7,0.06,WIN,YES,30,8833.12
122,2024-08-13,08:15,08:30,SHORT,2459.2,2461.6,2461.6,2456.08,2461.6,2.4,36.8,88.33,-88.33,-1,LOSS,NO,15,8744.79
123,2024-08-13,08:55,09:40,LONG,2462.66,2459.85,2459.85,2466.31,2463.41,2.81,31.12,87.45,23.34,0.27,WIN,NO,45,8768.13
124,2024-08-13,09:30,09:35,LONG,2462.08,2460.05,2462.28,2464.72,2462.28,2.03,43.19,87.68,8.64,0.1,WIN,YES,5,8776.77
125,2024-08-13,10:40,11:00,LONG,2464.44,2462.48,2462.48,2466.99,2462.48,1.96,44.78,87.77,-87.77,-1,LOSS,NO,20,8689
126,2024-08-13,11:15,11:40,LONG,2461.5,2458.84,2458.84,2464.96,2458.84,2.66,32.67,86.89,-86.89,-1,LOSS,NO,25,8602.11
127,2024-08-13,11:50,12:05,LONG,2461.47,2458.98,2458.98,2464.71,2458.98,2.49,34.55,86.02,-86.02,-1,LOSS,NO,15,8516.09
128,2024-08-13,12:30,13:15,SHORT,2460.54,2462.64,2462.64,2457.81,2461.99,2.1,40.55,85.16,-58.8,-0.69,LOSS,NO,45,8457.29
129,2024-08-13,13:05,13:20,SHORT,2460.4,2462.85,2462.85,2457.22,2462.85,2.45,34.52,84.57,-84.57,-1,LOSS,NO,15,8372.72
130,2024-08-13,13:45,14:30,LONG,2461.75,2457.81,2463.49,2466.87,2463.49,3.94,21.25,83.73,36.98,0.44,WIN,YES,45,8409.69
131,2024-08-13,14:30,14:55,LONG,2463.87,2461.88,2464.83,2466.46,2466.46,1.99,42.26,84.1,109.33,1.3,WIN,YES,25,8519.02
132,2024-08-13,15:10,15:20,LONG,2465.88,2463.77,2466.08,2468.62,2466.08,2.11,40.37,85.19,8.07,0.09,WIN,YES,10,8527.09
133,2024-08-13,15:50,16:00,LONG,2466.72,2463.36,2466.92,2471.09,2466.92,3.36,25.38,85.27,5.08,0.06,WIN,YES,10,8532.17
134,2024-08-13,16:35,16:50,LONG,2471.14,2466.12,2471.34,2477.67,2471.34,5.02,17,85.32,3.4,0.04,BREAKEVEN,YES,15,8535.57
135,2024-08-14,07:20,08:05,LONG,2460.91,2459.05,2459.05,2463.33,2461.66,1.86,45.89,85.36,34.42,0.4,WIN,NO,45,8569.98
136,2024-08-14,08:10,08:50,LONG,2461.46,2459.42,2459.42,2464.11,2459.42,2.04,42.01,85.7,-85.7,-1,LOSS,NO,40,8484.28
137,2024-08-14,08:50,08:55,LONG,2459.69,2457.66,2459.89,2462.33,2462.33,2.03,41.79,84.84,110.3,1.3,WIN,YES,5,8594.58
138,2024-08-14,09:30,10:10,LONG,2466.54,2464.22,2466.74,2469.56,2469.56,2.32,37.05,85.95,111.73,1.3,WIN,YES,40,8706.31
139,2024-08-14,10:15,11:00,LONG,2469.79,2467.23,2469.99,2473.12,2471.55,2.56,34.01,87.06,59.86,0.69,WIN,YES,45,8766.17
140,2024-08-14,10:50,11:10,LONG,2471.24,2469.08,2469.08,2474.05,2469.08,2.16,40.58,87.66,-87.66,-1,LOSS,NO,20,8678.5
141,2024-08-14,11:25,11:30,LONG,2470.23,2467.71,2470.43,2473.51,2470.43,2.52,34.44,86.79,6.89,0.08,WIN,YES,5,8685.39
142,2024-08-14,12:05,12:25,LONG,2474.22,2472.34,2472.34,2476.66,2472.34,1.88,46.2,86.85,-86.85,-1,LOSS,NO,20,8598.54
143,2024-08-14,12:45,13:15,LONG,2473.12,2470.99,2470.99,2475.89,2470.99,2.13,40.37,85.99,-85.99,-1,LOSS,NO,30,8512.55
144,2024-08-14,13:20,13:50,LONG,2471.2,2468.9,2472.87,2474.19,2474.19,2.3,37.01,85.13,110.66,1.3,WIN,YES,30,8623.22
145,2024-08-14,13:55,14:00,SHORT,2474.89,2477.55,2474.69,2471.43,2474.69,2.66,32.42,86.23,6.48,0.08,WIN,YES,5,8629.7
146,2024-08-14,14:30,14:45,LONG,2473.54,2471.6,2473.74,2476.06,2473.74,1.94,44.48,86.3,8.9,0.1,WIN,YES,15,8638.6
147,2024-08-14,15:05,15:30,SHORT,2473.46,2475.65,2473.16,2470.61,2470.61,2.19,39.45,86.39,112.3,1.3,WIN,YES,25,8750.9
148,2024-08-14,15:40,15:45,LONG,2470.38,2467.3,2467.3,2474.38,2467.3,3.08,28.41,87.51,-87.51,-1,LOSS,NO,5,8663.39
149,2024-08-14,16:20,16:50,LONG,2454.01,2447.96,2456.8,2461.88,2456.8,6.05,14.32,86.63,39.95,0.46,WIN,YES,30,8703.34
150,2024-08-14,16:55,17:00,SHORT,2457.4,2460.62,2457.2,2453.21,2457.2,3.22,27.03,87.03,5.41,0.06,WIN,YES,5,8708.75
151,2024-08-15,07:45,08:10,LONG,2454.37,2452.11,2452.11,2457.31,2452.11,2.26,38.53,87.09,-87.09,-1,LOSS,NO,25,8621.66
152,2024-08-15,08:25,08:35,SHORT,2452.28,2454.6,2452.08,2449.26,2452.08,2.32,37.16,86.22,7.43,0.09,WIN,YES,10,8629.09
153,2024-08-15,09:00,09:10,LONG,2453.58,2451.16,2453.9,2456.73,2456.73,2.42,35.66,86.29,112.18,1.3,WIN,YES,10,8741.27
154,2024-08-15,09:45,10:30,SHORT,2454.91,2457.55,2457.55,2451.48,2454.94,2.64,33.11,87.41,-0.99,-0.01,BREAKEVEN,NO,45,8740.28
155,2024-08-15,10:20,11:05,LONG,2455.99,2453.6,2453.6,2459.1,2454.94,2.39,36.57,87.4,-38.4,-0.44,LOSS,NO,45,8701.88
156,2024-08-15,10:55,11:15,LONG,2455.73,2453.62,2453.62,2458.47,2453.62,2.11,41.24,87.02,-87.02,-1,LOSS,NO,20,8614.86
157,2024-08-15,11:40,12:25,SHORT,2456.19,2458.63,2458.63,2453.02,2456.18,2.44,35.31,86.15,0.35,0,BREAKEVEN,NO,45,8615.21
158,2024-08-15,12:25,13:00,LONG,2456.18,2454.3,2456.38,2458.62,2458.62,1.88,45.83,86.15,112,1.3,WIN,YES,35,8727.21
159,2024-08-15,13:05,13:50,SHORT,2458.8,2461.14,2461.14,2455.76,2457.89,2.34,37.3,87.27,33.94,0.39,WIN,NO,45,8761.15
160,2024-08-15,13:40,14:15,LONG,2458.36,2456.2,2458.56,2461.17,2458.56,2.16,40.56,87.61,8.11,0.09,WIN,YES,35,8769.26
161,2024-08-15,14:15,14:25,LONG,2458.63,2456.52,2458.83,2461.37,2458.83,2.11,41.56,87.69,8.31,0.09,WIN,YES,10,8777.57
162,2024-08-15,14:50,15:20,LONG,2462.86,2459.41,2464.26,2467.35,2464.26,3.45,25.44,87.78,35.62,0.41,WIN,YES,30,8813.19
163,2024-08-15,15:25,15:30,SHORT,2466.77,2471.45,2466.57,2460.69,2460.69,4.68,18.83,88.13,114.57,1.3,WIN,YES,5,8927.76
164,2024-08-15,16:05,16:15,SHORT,2434.27,2440.35,2440.35,2426.37,2440.35,6.08,14.68,89.28,-89.28,-1,LOSS,NO,10,8838.49
165,2024-08-15,16:50,16:55,SHORT,2437.39,2443.76,2443.76,2429.11,2443.76,6.37,13.88,88.38,-88.38,-1,LOSS,NO,5,8750.1
166,2024-08-16,07:00,07:45,SHORT,2452.16,2454.33,2454.33,2449.34,2452.82,2.17,40.32,87.5,-26.61,-0.3,LOSS,NO,45,8723.49
167,2024-08-16,07:35,08:20,SHORT,2452.92,2455.07,2455.07,2450.13,2453.57,2.15,40.57,87.23,-26.37,-0.3,LOSS,NO,45,8697.11
168,2024-08-16,08:15,08:30,LONG,2453.2,2450.99,2453.4,2456.07,2453.4,2.21,39.35,86.97,7.87,0.09,WIN,YES,15,8704.99
169,2024-08-16,08:50,09:00,LONG,2455.34,2453.41,2455.54,2457.85,2455.54,1.93,45.1,87.05,9.02,0.1,WIN,YES,10,8714.01
170,2024-08-16,09:45,10:15,LONG,2455.88,2453.24,2453.24,2459.31,2453.24,2.64,33.01,87.14,-87.14,-1,LOSS,NO,30,8626.87
